,_id,dn,groupid,member,uid
2192,5a58d82d8a714b91a771379e,"cn=IMP-Ricoh_badge_1,ou=IPRINTERS,ou=PTX,o=GB1",IMP-Ricoh_badge_1,"cn=STDMAT10,ou=MATINPLUS,ou=MEDIA,ou=PTX,o=GB1",STDMAT10
2193,5a58d82d8a714b91a77137a1,"cn=IMP-Ricoh_badge_1,ou=IPRINTERS,ou=PTX,o=GB1",IMP-Ricoh_badge_1,"cn=GPZA,ou=MATINPLUS,ou=MEDIA,ou=PTX,o=GB1",GPZA
2194,5a58d82d8a714b91a77137a4,"cn=IMP-Ricoh_badge_1,ou=IPRINTERS,ou=PTX,o=GB1",IMP-Ricoh_badge_1,"cn=ALBY,ou=BOLLOREMEDIAREGIE,ou=MEDIA,ou=PTX,o=GB1",ALBY
2195,5a58d82d8a714b91a77137a7,"cn=IMP-Ricoh_badge_1,ou=IPRINTERS,ou=PTX,o=GB1",IMP-Ricoh_badge_1,"cn=CSAE,ou=BOLLOREMEDIA,ou=MEDIA,ou=PTX,o=GB1",CSAE
2196,5a58d82d8a714b91a77137aa,"cn=IMP-Ricoh_badge_1,ou=IPRINTERS,ou=PTX,o=GB1",IMP-Ricoh_badge_1,"cn=NLEC,ou=MATINPLUS,ou=MEDIA,ou=PTX,o=GB1",NLEC
2197,5a58d82d8a714b91a77137ad,"cn=IMP-Ricoh_badge_1,ou=IPRINTERS,ou=PTX,o=GB1",IMP-Ricoh_badge_1,"cn=SBTE,ou=BOLLOREMEDIAREGIE,ou=MEDIA,ou=PTX,o=GB1",SBTE
2198,5a58d82d8a714b91a77137b0,"cn=IMP-Ricoh_badge_1,ou=IPRINTERS,ou=PTX,o=GB1",IMP-Ricoh_badge_1,"cn=CTEA,ou=MATINPLUS,ou=MEDIA,ou=PTX,o=GB1",CTEA
2199,5a58d82d8a714b91a77137b3,"cn=IMP-Ricoh_badge_1,ou=IPRINTERS,ou=PTX,o=GB1",IMP-Ricoh_badge_1,"cn=LecteurLille,ou=MATINPLUS,ou=MEDIA,ou=PTX,o=GB1",LecteurLille
2200,5a58d82d8a714b91a77137b6,"cn=IMP-Ricoh_badge_1,ou=IPRINTERS,ou=PTX,o=GB1",IMP-Ricoh_badge_1,"cn=RedactionAzur,ou=MATINPLUS,ou=MEDIA,ou=PTX,o=GB1",RedactionAzur
2201,5a58d82d8a714b91a77137b9,"cn=IMP-Ricoh_badge_1,ou=IPRINTERS,ou=PTX,o=GB1",IMP-Ricoh_badge_1,"cn=LecteurAzur,ou=MATINPLUS,ou=MEDIA,ou=PTX,o=GB1",LecteurAzur
2202,5a58d82d8a714b91a77137bc,"cn=IMP-Ricoh_badge_1,ou=IPRINTERS,ou=PTX,o=GB1",IMP-Ricoh_badge_1,"cn=PubliciteAzur,ou=MATINPLUS,ou=MEDIA,ou=PTX,o=GB1",PubliciteAzur
2203,5a58d82d8a714b91a77137bf,"cn=IMP-Ricoh_badge_1,ou=IPRINTERS,ou=PTX,o=GB1",IMP-Ricoh_badge_1,"cn=LecteurToulouse,ou=MATINPLUS,ou=MEDIA,ou=PTX,o=GB1",LecteurToulouse
2204,5a58d82d8a714b91a77137c2,"cn=IMP-Ricoh_badge_1,ou=IPRINTERS,ou=PTX,o=GB1",IMP-Ricoh_badge_1,"cn=PubliciteToulouse,ou=MATINPLUS,ou=MEDIA,ou=PTX,o=GB1",PubliciteToulouse
2205,5a58d82d8a714b91a77137c5,"cn=IMP-Ricoh_badge_1,ou=IPRINTERS,ou=PTX,o=GB1",IMP-Ricoh_badge_1,"cn=Redaction,ou=MATINPLUS,ou=MEDIA,ou=PTX,o=GB1",Redaction
2206,5a58d82d8a714b91a77137c8,"cn=IMP-Ricoh_badge_1,ou=IPRINTERS,ou=PTX,o=GB1",IMP-Ricoh_badge_1,"cn=Publicite,ou=MATINPLUS,ou=MEDIA,ou=PTX,o=GB1",Publicite
2207,5a58d82d8a714b91a77137cb,"cn=IMP-Ricoh_badge_1,ou=IPRINTERS,ou=PTX,o=GB1",IMP-Ricoh_badge_1,"cn=GGUE,ou=BOLLOREMEDIAREGIE,ou=MEDIA,ou=PTX,o=GB1",GGUE
2208,5a58d82d8a714b91a77137ce,"cn=IMP-Ricoh_badge_1,ou=IPRINTERS,ou=PTX,o=GB1",IMP-Ricoh_badge_1,"cn=STBMR14,ou=BOLLOREMEDIAREGIE,ou=MEDIA,ou=PTX,o=GB1",STBMR14
2209,5a58d82d8a714b91a77137d1,"cn=IMP-Ricoh_badge_1,ou=IPRINTERS,ou=PTX,o=GB1",IMP-Ricoh_badge_1,"cn=GGDI,ou=BOLLOREMEDIAREGIE,ou=MEDIA,ou=PTX,o=GB1",GGDI
2210,5a58d82d8a714b91a77137d4,"cn=ATOS_DROIT_SUP,ou=GROUPES,ou=BOLLORE,ou=PTX,o=GB1",ATOS_DROIT_SUP,"cn=GACL,ou=INFOGERANCE,ou=PTX,o=GB1",GACL
2211,5a58d82d8a714b91a77137d7,"cn=ATOS_DROIT_SUP,ou=GROUPES,ou=BOLLORE,ou=PTX,o=GB1",ATOS_DROIT_SUP,"cn=TMTN,ou=INFOGERANCE,ou=PTX,o=GB1",TMTN
2212,5a58d82d8a714b91a77137da,"cn=ATOS_DROIT_SUP,ou=GROUPES,ou=BOLLORE,ou=PTX,o=GB1",ATOS_DROIT_SUP,"cn=ATOS,ou=INFOGERANCE,ou=PTX,o=GB1",ATOS
2213,5a58d82d8a714b91a77137dd,"cn=ATOS_DROIT_SUP,ou=GROUPES,ou=BOLLORE,ou=PTX,o=GB1",ATOS_DROIT_SUP,"cn=LSATOS01,ou=INFOGERANCE,ou=PTX,o=GB1",LSATOS01
2214,5a58d82d8a714b91a77137e0,"cn=G_ZCM_RAPPORT-POLE-WEB,ou=GROUPES,ou=BOLLORE,ou=PTX,o=GB1",G_ZCM_RAPPORT-POLE-WEB,"cn=AVCT,ou=DSI,ou=BOLLORE,ou=PTX,o=GB1",AVCT
2215,5a58d82d8a714b91a77137e3,"cn=G_ZCM_RAPPORT-POLE-WEB,ou=GROUPES,ou=BOLLORE,ou=PTX,o=GB1",G_ZCM_RAPPORT-POLE-WEB,"cn=LS2DSI,ou=DSI,ou=BOLLORE,ou=PTX,o=GB1",LS2DSI
2216,5a58d82d8a714b91a77137e6,"cn=G_ZCM_RAPPORT-POLE-WEB,ou=GROUPES,ou=BOLLORE,ou=PTX,o=GB1",G_ZCM_RAPPORT-POLE-WEB,"cn=LS5DSI,ou=DSI,ou=BOLLORE,ou=PTX,o=GB1",LS5DSI
