user,uid,path,trustee,appliesto
.CN=LefebvreS.OU=NOVEL.O=ANNECY.T=MRY.,LefebvreS,\social,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=PorcherotB.OU=HDV.O=ANNECY.T=MRY.,PorcherotB,\INFO\Raphael\Supp Novell,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=PorcherotB.OU=HDV.O=ANNECY.T=MRY.,PorcherotB,\INFO\Raphael,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=PorcherotB.OU=HDV.O=ANNECY.T=MRY.,PorcherotB,\INFO,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=SageP.OU=HDV.O=ANNECY.T=MRY.,SageP,\INFO\PHILIPPE\perso,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=SageP.OU=HDV.O=ANNECY.T=MRY.,SageP,\INFO\PHILIPPE,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=SageP.OU=HDV.O=ANNECY.T=MRY.,SageP,\INFO,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=Info.OU=HDV.O=ANNECY.T=MRY.,GG_Info,\INFO\PHILIPPE\perso,,ThisFolderSubFoldersAndFiles
.CN=Info.OU=HDV.O=ANNECY.T=MRY.,GG_Info,\INFO\PHILIPPE,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=Info.OU=HDV.O=ANNECY.T=MRY.,GG_Info,\INFO,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=Everybody.O=ANNECY.T=MRY.,GG_Everybody,\INFO\PHILIPPE\perso,,ThisFolderSubFoldersAndFiles
.CN=Everybody.O=ANNECY.T=MRY.,GG_Everybody,\INFO\PHILIPPE,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=Everybody.O=ANNECY.T=MRY.,GG_Everybody,\INFO,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=Stage_Dgre.OU=HDV.O=ANNECY.T=MRY.,Stage_Dgre,\dgre\Sandra LORGEOU,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=Stage_Dgre.OU=HDV.O=ANNECY.T=MRY.,Stage_Dgre,\dgre,"ReadAndExecute,Synchronize",ThisFolderOnly
